id,title,country,place,type,status,year,criteria,pair,theme,lat,lon,source,wikidata,geonames
S01,Shudao 蜀道,Cina,Sichuan/Shaanxi/Gansu,via storica/cultural route,Lista Tentativa UNESCO,2015 tentative,proposti: culturali,Via Appia. Regina Viarum,Vie storiche,32.1827,105.561,https://whc.unesco.org/en/tentativelists/5994/,https://www.wikidata.org/wiki/Q10514513,https://www.geonames.org/search.html?q=Jianmenguan&country=CN
S02,Via Appia. Regina Viarum,Italia,"Lazio, Campania, Basilicata, Puglia",via storica/cultural route,Patrimonio Mondiale UNESCO,2024,(iii)(iv)(vi),Shudao 蜀道,Vie storiche,41.84867,12.52447,https://whc.unesco.org/en/list/1708/,https://www.wikidata.org/wiki/Q189417,https://www.geonames.org/8015045/via-appia-antica.html
S03,Palazzo d’Estate 颐和园,Cina,Pechino,giardino imperiale,Patrimonio Mondiale UNESCO,1998,(i)(ii)(iii),Villa d’Este,Giardini e acqua,39.9988,116.27008,https://whc.unesco.org/en/list/880/,https://www.wikidata.org/wiki/Q4132,https://www.geonames.org/1899236/yihe-yuan.html
S04,"Villa d’Este, Tivoli",Italia,"Tivoli, Lazio",villa e giardino rinascimentale,Patrimonio Mondiale UNESCO,2001,(i)(ii)(iii)(iv)(vi),Palazzo d’Estate 颐和园,Giardini e acqua,41.9625,12.79611,https://whc.unesco.org/en/list/1025/,https://www.wikidata.org/wiki/Q746063,https://www.geonames.org/7506721/villa-d-este.html
S05,Giardini classici di Suzhou 苏州古典园林,Cina,"Suzhou, Jiangsu",giardini classici,Patrimonio Mondiale UNESCO,"1997, estensione 2000",(i)(ii)(iii)(iv)(v),Venezia e la sua Laguna,Città d’acqua e giardini,31.30408,120.59538,https://whc.unesco.org/en/list/813/,https://www.wikidata.org/wiki/Q1144337,https://www.geonames.org/1886760/suzhou.html
S06,Venezia e la sua Laguna,Italia,"Venezia, Veneto",città lagunare/paesaggio culturale,Patrimonio Mondiale UNESCO,1987,(i)(ii)(iii)(iv)(v)(vi),Giardini classici di Suzhou 苏州古典园林,Città d’acqua e giardini,45.43713,12.33265,https://whc.unesco.org/en/list/394/,https://www.wikidata.org/wiki/Q11352141,https://www.geonames.org/3164603/venice.html
